City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
324,Broome,US,42.2506,-75.833,291.69,92,20,1.54,few clouds
325,Ostersund,SE,63.1792,14.6357,277.4,81,20,7.2,few clouds
326,Chilca,PE,-12.5211,-76.7372,290.32,86,33,1.99,scattered clouds
327,Aykhal,RU,66.0,111.5,278.05,89,100,1.72,overcast clouds
328,Lakes Entrance,AU,-37.8811,147.981,295.46,58,1,0.5,clear sky
329,Bonfim,BR,3.0833,-59.95,298.22,81,71,3.46,broken clouds
330,Haines Junction,CA,60.7522,-137.5108,273.12,100,100,0.51,overcast clouds
331,Shubarkuduk,KZ,49.1447,56.4872,289.25,65,100,6.2,overcast clouds
332,Paraguacu,BR,-21.5472,-45.7375,287.48,89,54,1.05,broken clouds
333,Semnan,IR,35.5729,53.3971,294.06,23,0,1.03,clear sky
334,Morada Nova,BR,-5.1067,-38.3725,296.09,95,99,1.78,overcast clouds
335,Hambantota,LK,6.1241,81.1185,304.34,74,40,6.69,scattered clouds
336,Taperoa,BR,-7.2075,-36.8267,293.18,97,84,3.92,broken clouds
337,Nelson Bay,AU,-32.7167,152.15,296.18,90,98,3.19,light rain
338,Maningrida,AU,-12.0667,134.2667,304.85,47,1,2.77,clear sky
339,Baherden,TM,38.4362,57.4316,297.48,25,4,7.93,clear sky
340,Kalmunai,LK,7.4167,81.8167,301.23,73,100,0.36,overcast clouds
341,Raudeberg,NO,61.9875,5.1352,280.35,94,100,1.65,overcast clouds
342,San Jose,US,37.3394,-121.895,292.75,69,0,4.12,clear sky
343,Nome,US,64.5011,-165.4064,274.19,86,100,6.17,light snow
344,Belgrade,RS,44.804,20.4651,290.0,66,0,2.57,clear sky
345,Grindavik,IS,63.8424,-22.4338,281.41,100,100,5.66,mist
